CS458 Natural Language Processing
BCS-9A
Assignment 2
Taimoor Khan
•
Oct 18, 2020
100 points
Due Oct 26, 2020
Perform text classification using the attached dataset. Try different classifiers and report their accuracy.

Movies_TV.txt
Text
Class comments

Your work
Turned in

knn_classification.ipynb
Colaboratory

Movies_TV.csv
Excel
Private comments


Domain	Label	Rating	Review
Movies_TV	POS	5	how can you go wrong with a story about eternal youth feature pirate , Indians and mermaid ? clumsy hand can ruin even a magnificent story but in this case Disney produce one of cinema 's great masterpiece . Peter Pan be as close to perfection as any film I have ever watch and not only rank number one in my list of Disney animation but be my favorite animated film by any studio even beat out the brilliant spirited away by Hayao Miyazaki . Disney 's Peter Pan have a extremely tight , well pace story without a waste frame or a scene that drag . the animation be bright , active and fluid . I would challenge fan of beauty and the beast and the little mermaid to go back and watch those film again and compare they to Peter Pan which look far better despite be almost 40 year they senior . when I be young I think of Neverland as a literal place while at the same time remove from we reality . in other word it be not simply in the imagination of wendy , John and Michael but be a actual location they fly to just not a place you could ever stumble across . the biggest complaint I have read about the movie be the use of broad stereotype of native Americans but in this case I always consider they more of a archetype of the childhood concept of a indian rather than a real native american tribe since they appear to live exclusively in Neverland . likewise , despite Captain Hook 's vow to sail away from Neverland it be hard to imagine he pirate crew exist anywhere else . I will not battle too hard over the usage of racial stereotype but I really do not think it be a sufficient reason to discount the movie . movie about child , write for child , tend to write child like small , overly clever adult . Peter Pan and the lose boy act like real child . they be impulsive , self centered and easily manipulate -lrb- ok , Peter be a bit more clever than the lose boy -rrb- . when Hook capture the lose boy and seduce they with life as a pirate they gleefully rush to join . even John and Michael trip over themselves to hop aboard . all loyalty to pan seem go . likewise Peter have no problem nuzzle with Tiger Lily right in front of wendy or laugh off when the mermaid attempt to drown she . when Tinker Bell convince the lose boy to try and kill wendy , Peter be not angry over the attempt murder he be angry that tink betray he . it be not that Peter have malice -lrb- although kill hook do not seem to bother he a whit -rrb- it be that Peter be about Peter and even he refusal to grow up can be see as a childish refusal to follow the rule of society and nature . what set Peter apart be that when he decide not to grow up he literally do not grow up . every character , even the peripheral one like big Chief and Tiger Lily , be wonderful . I could watch the interaction of Captain Hook and Smee all day long and although hook be generally play for laugh he be no fool and cleverly manipulate Tinker Bell to reveal Pan 's hideout . what I really love about the character be they unapologetic amorality . this be not a film about life lesson or personal growth . it be simply a fantasy adventure that make no attempt to moralize and I love it . Rottentomatos.com recently have a list of the 75 greatest animated movie and Peter Pan do not even make the cut and hold a very good but not excellent aggregate score of 83 % . I have no idea what movie 17 % of reviewer see but as I lifetime fan of animation Peter Pan be the one film I recommend everyone see . ignore the naysayer .
Movies_TV	POS	5	my daughter be almost 4yrs old and regularly pop this dvd in before she reach for the original Cinderella . now I be not here to take anything away from the original nor do movie review where I attack the storyline etc. . the movie be just what it say , a twist . this be a very vividly animated , too funny and touching spin off . so glad I add it to she collection because its on heavy rotation !
Movies_TV	POS	5	after the departure of Christopher Eccleston , everyone wonder what would happen next , would David Tennant tag over the mantle successfully . the answer be a clear yes . the second series of the hit show contain all 13 episode of the second season plus the 2005 Christmas special . the usual good -lrb- rather than dazzling , there be some omission such as attack of the graske and the tardisode -rrb- set of extra be include . a 5.1 sound mix be also include -lrb- though hopefully it be better than last year 's -rrb- . the episode themselves range from traditional to experimental , not everything work , but it be clearly a show now hit its stride . Roll on the Runaway Bride and series 3 !
Movies_TV	POS	5	Peter Pan be one of the Ultimate Disney classic . the restoration make it even more enjoyable this time around . this be the perfect keepsake ... my child will love grow up watch this !
Movies_TV	POS	4	my young niece Sarah and nephew Caleb be terrify of Walt Disney 's 1953 animated feature , PETER PAN -- the crocodile , a band of pirate , Captain Hook with a hook hand , a rock slide that seem to momentarily kill Tinker Bell . the movie scare they so much in they younger day that they do not want to see it again , and neither do they mother . I , however , as a 56 year old film scholar find the film delightful -- a boy who can fly and refuse to grow up lead the darling kid over nighttime London and to Never-Land , where they all get to fight with indian and pirate . there be a Skull Rock , and a pirate cove , and a beautiful pirate ship . it be all just marvelous for adult . as for the crocodile , he be so stupid , boredly watch hook fight with Peter until Hook fall into the water . and Hook be a irresistible pirate for kid of all age . I love when Peter be on a mountain top pretend to be hook and give order to dopey Smee in a boat below . the glory of this animated film be that it be animated so the wire do not show in spectacular fly sequence , again highlight by `` you can fly '' as the gang fly over 1904 nighttime London , plus the prologue bedroom and all over Never-Land . hook have a real metal hook he deliciously screw on . Tinker Bell be a real , jealous fairy and not a spotlight on stage . and this be the one time Peter be play , satisfyingly and curiously , by a boy and not a grow woman , like Mary Martin on tv or Betty Bronson in a wonderful 1924 silent film version . also unlike , say , the Martin version , you can have spectacular fight sequence and the lose boy and darling kid tie up by the indian , not a lot of wire and paint backdrop . and the animation be magnificent , with deep color and rich detail , especially in this brand-new double disk platinum Edition dvd , which also boast a awesome 5.1 Disney enhance Home Theatre Mix soundtrack . disk one have the restore movie , but also a very informative audio commentary with Roy Disney , Leonard Maltin , John Canemaker , Kathryn `` Wendy '' Beaumont , the woman who model for Tinker Bell , and survive animator . the late Hans Conreid do Captain Hook 's voice to perfection , and Bobby Driscoll do Peter 's . disk two have a good two hour of bonus material , include behind-the-scenes filmmaking documentary , `` why I want to make PETER PAN '' by Walt Disney from the archive , the history of make PETER PAN include storyboard for delete scene that go back to the late 1930 's , a original never-before-seen opening to the movie , and a lovely delete song that songwriter Richard Sherman and singer Paige O'Hara -lrb- Belle in BEAUTY and the beast -rrb- have complete . if Disney have make the movie in the late 1930 's , it would have be very dark and frightening . there be also game and activity galore for child and family , and a fun virtual flight with Peter Pan over London and Never-Land . this PETER PAN have be painstakingly remaster and restore . the 1953 classic have never look nor sound this colorful and tuneful . it belong in every family 's video library , even if it have moment too scary for small child . they will grow into it , at which time it will be back in the Disney vault on seven year moratorium ; buy it now while you can .
Movies_TV	NEU	3	I would forget that major plot point in Peter Pan revolve around mysoginistic pre-adolecent female attack on each other and racist stereotype of aboriginal people , so when my three year old pointed to the ` cheifum ' and ask what he be , I be at a loss . if I would say , ` oh , that be a native American , ' she would have think to associate that image with native folk forever , which be a bad thing . I end up tell she he be a ` stereotype ' , and she ask no more . she now refer to he as ` that big guy ' . I can not wait to explain why the mermaid be try to kill wendy . still , the movie have its merit and tinkerbell be pretty popular around here . I would choose many other movie over this one , but compare to such abomination as ` car ' or ` Madagascar ' , the quality of this production be unmistakeable . be aware though - if you child begin push other girl on the playground while chase a particular boy or shout ` how ! ' and pretend to scalp each other , you 'll have this movie to blame for it !!
Movies_TV	POS	5	I have actually have this set in my collection since last November . I be not sure what happen to my original review . I be always leery of the new doctor , have get so comfortable with the previous one whoever that may have be . Chris Eccleston 's doctor be a real triumph and he pairing with Billie Piper be nothing short of inspire . the story be great , take not only the series to new height but tv sci-fus also , so he departure after one season be truly brave , for where be that go to leave the show ? in the hand of a very talented individual by the name of David Tennant , that be where . he doctor explore humanity like never before and it be not since the Green Death that we see he so openly attach to he companion . they separation be a miserable experience for I and , damn , do I want he to tell Rose he feeling for she . she know it , he know it , we all know it but just say it ! the story be of a consistently high standard and some of the Doctor 's line be pure magic -lrb- `` I may die but the moral high ground be mine '' ! -rrb- this show have not only hit its stride but come of age . this be intelligent sci-fus , thoroughly enjoyable , gripping , witty and produce by people who care . the downside be that my set come with a natty little Cyberman head stick on the front -lrb- I could not wait for the US release ! -rrb- . just like the first box , which I also get from Amazon UK , this will not go many round . I take the first set out of the box and put they in separate case to avoid unnecessary wear and tear . perhaps I should do this again . this be a minor quibble , I suppose . the point be that the BBC have produce world-class television . that this television be my favorite ever show be a very good thing . enjoy the show , one episode after another . Tennant 's Doctor rock .
Movies_TV	POS	5	in response to two other reviewer here , the `` if you believe in fairy clap you hand '' scene be in many other version of `` Peter Pan , '' include the various widely-seen tv production , but it be never in the Disney cartoon . those who think it be be mix up they memory .
Movies_TV	POS	5	this series have come a long way since the it debut in the early sixty . who could have know it would still keep go strong , fresh and vigorous into the 21st century ? it alsmost do not . not until a wonderful man by the name Russell T. Davies take the helm of the new project and infuse it with all the wonder , wit and flamboyant eccentricity of the early series . Series 1 of the new Doctor who show that the series could keep its essence and original storytelling without be overwhelm by modern special effect - which be sorely need , though . it also cast some wonderful character to carry the torth . Christopher Eccleston 's Doctor will go down in the annals of who history as the `` Golden Age '' of of the new Doctor who . when he leave at the end of series 1 , David Tennant , who take on the role have some pretty big clog to fill . fortunately , Tennant 's Doctor be as energetic and powerful as Eccleston 's while remain very different . he doctor seem reminiscent of the olde Tom Baker era , and the story he character get into often exude the horror of the Patrick Troughton early year . doctor who be always best when it be scary , something the orginal series seem to drop towards the end in favor of tell story that be just `` weird '' . fortunately the new series know how to exploit its deeper root and bring some incredibly hair-raising moment . Werewolves , Cybermen , and tv 's that suck people 's face off . also , the story be well write , not just rest a cruch of cheap thrill . each story seem to have something intelligent and move to say , something that separate Doctor who from be just a `` Kid 's show '' to something everyone can enjoy . I , for one , be strangely attractd to what be probably the most bizarre episode of series 2 -lrb- nay , the whole series -rrb- , `` love and monster '' . although not tell from the doctor or Rose 's perspective , the intrigue , emotion and charismatic branding of the series be all package neatly into it . it be as bizzare as it be move . but I will not dare spoil it for any of you because it be a epidode , I believe , that be mean to surprise you becuase of its `` uniqueness '' . overall , series 2 have do a fanastic job of open the world of who to old and young alike . for I , someone who come from the fandom of the classic series , I feel like I be rediscover my love of the show without have to relearn it . for my friend , who scarcely glance at the old series , its ageless fun and intellegence -lrb- not to mention update special effect -rrb- have draw they in as well . you be in for quite the romp !
Movies_TV	POS	5	this be a great product . it get the blood pump . some of the step be difficult at first , but you get use to they . I be not in the best shape , so I only do about half of the workout . if you have bad knee , I would advise against this workout . otherwise , this be great .
Movies_TV	POS	5	my whole family love this movie . everyone be glue to the tv especially I since I have not see it for year .
Movies_TV	POS	5	it always strike I that Christopher Eccelston 's Christmas Day interview with the BBC in 2005 -- the day that `` Doctor who '' be reboot for the 21st century -- be ironic . he know , because the complete first season be shoot , that he be not come back ; which be why he mention of the Doctor 's ability to regenerate be so ... tell ... but maybe Chris also have a clue about the come storm that be David Tennant . Tennant 's Doctor -- ten , as other reviewer refer to he -- spiritually do connect back to Tom Baker 's fourth doctor , but David capture a joy in he doctor that Baker do not seem to have . both they doctor seem to understand the `` stream of thought '' concept in line delivery that capture the TimeLord 's essence ... but Tennant have a fun with he interpretation that Baker either be not allow or could not express in he 1974-1981 run . as a result , David push the envelope from where Eccelston have the doctor at the end of he run . while be far more joyful , Tennant also seem to capture the core sadness and anger of the doctor , and those moment seem starker and more striking when they occur . because Russell T. Davies allow ten to be more of a romantic , there be some stunning moment through the season . in many way , `` School Reunion '' and `` the Girl in the fireplace '' play as a two-part episode . `` School Reunion '' bring Elisabeth Sladen back to the Whoniverse as the doctor 's former companion , Sarah Jane Smith , and allow for a discussion -- aside from the main storyline -- that the previous run of Doctor who might not have broach . the scene in which Sarah Jane , sneak through the school at night , discover the TARDIS , and then turn to find Tennant and realize who he be -- be joyous , but quickly turn heartbreaking when Sarah Jane vent at the doctor for leave she ... which in turn , make the doctor talk about he reality -- that he lose those he care about , no matter what . this be a theme that play out in `` the Girl in the fireplace '' , where the TimeLord develop a strong attraction to Sophia Myles ' Madame de Pompadour -lrb- Tennant 's great line after Myles kiss he -- `` I just snog Madame de Pompadour !!! '' -- be a wonderful kick -rrb- . Tennant 's interpretation of the doctor be a wonderful match for Billie Piper 's Rose Tyler . watch the Doctor grow closer to Rose -- we understand he reluctance , but she will not deny she feeling -- be marvelous . Camille Coduri 's Jackie Tyler be scatter and charming , and Noel Clarke 's Mickey Smith mature courageously and sadly through the series -- Mickey come to accept Rose 's attraction to the doctor , but also come to grip with larger responsibility in `` rise of the Cybermen '' and `` the Age of Steel '' that give he a place and purpose . this box set be about the line that open -- and close -- this season , which be why this review be title as such . from the open to the Daleks\/Cybermen smackdown that finish the season in `` Army of ghost '' and `` Doomsday '' , this season allow for a more thorough introduction to the doctor and he world , allow longtime viewer to see the heart -lrb- Hearts , since he have two -rrb- of the preeminent character in british science fiction . though there will always be a element of mystery clouding the doctor , Davies and Tennant allow we to see more of the timelord than we have see over the year ... he strength , he humor , he devotion to life and this planet ... in short , a greater understanding of `` who the ` ell he be ... '' , and this be continue in Tennant 's run in Seasons three and four . this set -- highly recommend .
Movies_TV	POS	5	this movie have it all . twist , action , drama , comedy . very good . whole family can watch together . this be one of my favorite Will Smith Movies .
Movies_TV	POS	5	I can not add anything to the praise for this film . if you love Disney film , this be consider one of the classic . I just wish to briefly comment on the criticism of the lack of a widescreen version . the first widescreen film , the King and I , be release in 1956 . previous to this all film be full screen . Peter Pan , release in 1953 , and a good many of the Disney classic be only available in full screen aspect . this be not the pan and scan alteration of a original Widescreen format . the way this film be present on the dvd be the original aspect ratio ; nothing have be alter . I have see this so call criticism level against many Hollywood classic such as Casablanca , go with the wind and the Wizard of Oz . please , get off you high horse and stop whinn about how Disney or whatever movie company be rip you off . none of these film ever have a widescreen version to begin with . do a little research and you could be content to enjoy these classic in the aspect ratio they be orginally present in . that all I wish to say .
Movies_TV	NEU	3	Disney movie in general be just better than everyone else 's , but not so for sequel . Disney sequel be famously bad , with mediocre music and iffy plot . bad enough to make one wonder : do they just throw this together to prey on the pocket of parent with little girl ? because , really , little girl be the only one who will not notice the gaping plot hole or massive inferiority of this to the original . what really get I be that on every new , fresh Disney movie , you can tell how much time and effort go into it . but sequel just seem to be a attempt to ride the success of the first movie , and this be no different . that say , I force my husband to watch this because it be , indeed , a interesting plotline . it remind I of a whole lot of anime fanfiction I have read -- cool but used idea , never quite live up to expectation , but you kind of have to finish it anyway . I maintain that the movie be watchable and probably very nice for kid , despite my husband 's protest of `` the fairy godmother just throw she wand , and then she be a useless doddering old lady . not magical at all . what kind of fairy godmother just throw she wand ?! '' but what bother ME most be the music -- I could deal with the `` perfectly Perfect '' song at first , but then I realize that the songwriter do not bother to come up with any other lyric . the same song be repeat over and over again , and not with the nice , thematic style that Pocahontas have -- they be actually just the same song alter a WEE bit to fit the situation . mean either the note or the word , but never both . and be anyone else bother by the fact that the prince do not seem to have a name ? or that the wicked stepmother keep say `` Bippity Boppity Boo '' in the most incongruous use of language since the last time President Bush speak in public ? I watch it . I enjoy part , like how the prince have a personality or how Cinderella be willing to fight to get she man . but it be not the Cinderella of Walt Disney 's day . Walt would not have allow this to be put on the market like it be . he have standard .
Movies_TV	NEG	1	the disc be make for eurpeon dvd player and it will not play in the we make dvd player . so it really suck when my kid see the disc and it will not play . my husband use to work in the dvd\/cd production industry so he notice right away the write on the cover be in german that it will not play .
Movies_TV	NEU	3	lot of action and superb and believable acting by Will Smith and Gene Hackman . the best part of the film be see the technology available by the government to do satelite spy , et al. . have a bunch of 19-yr-old do the observe , however be a bit too much of a wishful rip-off of `` sneaker . '' I do not buy it at all , even though I want to .  know that there be literally surveillance everywhere nowadays , it be highly unlikely that assassin with the government would have make a hit in such a public , open place in the first place . some of the premise make sense , but it go everywhere . this film try to be too many thing , part `` sneaker , '' part `` Patriot Games '' and part `` french connection . '' it do not work . the movie be well shoot and those who be satisfy with pyrotechnics , action and spy gadget will still enjoy this film . I like it , but not enough to ever watch it again .
Movies_TV	POS	5	okay , seriously folk . you want to watch this series . I be on the edge of my seat for hour . if you have not see the first season , watch that first ; it help . but do not pass this by . I would write more , but I want to go watch it again .
Movies_TV	POS	4	enemy of the state be a great movie if you like a lot of action , I love the movie . its about a lawyer who be life get twist when he come in counter with a disk that have the murder of the governor . he get help from a man that have be in this situation before and they team up to stay alive . the movie show people what kind of Technology the World have and make you think about the future . the only bad thing about the movie be the timing . enemy of the State should have be just alittle bit longer . I never find myself drift off in the movie and it keep bring more and more action and alittle bit of comedy from Will Smith .  I would recommend this movie to anybody that like action pack movie with lot of adventure .
Movies_TV	POS	5	excellent . great idea of special feature include a read-along with script below . wonderful for early reader . stupendous to be able to obtain for child all one 's childhood favorite in the ORIGINAL , not some politically correct version which insult one 's intelligence .
Movies_TV	POS	5	what could possibly be wrong with this classic . I enjoy it as a kid and watch it with my kid and now as my kid have they own I can not wait to watch it with my grandchild .
Movies_TV	POS	5	Second Series and this doctor be HOT ! there be definitely chemistry between Rose and the doctor but the kid will love watch it too ! if you grow up watch Tom Baker as the Doctor , then you 'll love David Tennant !
Movies_TV	POS	5	great movie . it be deliver in awsome timee I recomend this movie to everyone with kid .
Movies_TV	POS	5	seldom do a sequel live up to the original , but this one do come close . I be a self-proclaimed Disney Fanatic , and when Cinderella III come out , I have want to see it , but be hesitant to buy it because of its predecessor -lrb- the only part of that which I actually like be Anastasia find she happily-ever-after ... -rrb- . wander around the local movie store one night , lo and behold there Cinderella III be on the shelf , give I the perfect opportunity to watch it before I buy it . so I check it out , take it home and watch it . and be more than happy with what Disney create . grant its not the original , but this be still a great story with good animation . so I buy it and now own the movie . this be one that I would love to share with my child in the future . five Stars Disney !
Movies_TV	POS	4	I like every other american teenager grow up with Cinderella . she be and still be my favorite Disney character . the 3rd in the series be certainly entertaining and very charming . it be not the same as the first but almost as good . anyone look at Cinderella 2 do not waste you time .
Movies_TV	POS	5	this be always one of my favorite Disney movie . I be happy to say that it be now one of my 2 daughter 's favorite as well . we get the dvd when it come out and they have watch it over and over . all I can say be that I be glad that dvd movie do not wear out like VHS or Beta . the clarity of the image be fantastic . Disney re-release be always beautiful and this be no exception . special feature be great for the adult or older child . a definite must have for any family , but especially for those of we who remember or , more importantly , can not remember what it be like to be a kid .
Movies_TV	POS	5	I see Hemalayaa on Ellen awhile back and that be what make I order this dvd . I try it for the first time last week and have so much fun . if you be just start to exercise , you will not make it through the whole workout . I be a plus-sized woman and find some of the higher impact move extremely hard to do . it be 50 minute long ... I make it in about 20 minute the first time and have to call it quit . by the third time I do the work out I make it up to 35 minute . this dvd make you want to work out because it be so fun and I feel sexy do it ! I be hope as I lose weight I 'll make it all 50 minute !! I 'll be buy at least one more of Hemalayaa 's dvd to create some variety .
Movies_TV	POS	5	this be a very fun dance workout dvd !! it get you move and laugh at yourself too . its in a nice format that you can follow and learn the step . I look forward to pop it in and have a fun time vs. dread a boring workout . thank you hemalayaa , this be wonderful !
Movies_TV	POS	5	with a great mix of action , comedy , style , and of course - conspiracy , enemy of the state be the movie that have it all . with he last `` hip '' style , Will Smith deliver a nonstop thrill ride as he and Gene Hackman fight to bring the government 's spy down on they own turf . if you like Will Smith or Gene Hackman , you 'll love this movie . be thrill and be cautious - they be watch you !!
Movies_TV	POS	4	there really be so many way to tell a story , so many different thing you can emphasize , so many characterization you can change while retain the essence of a story . do Disney make the perfect Peter Pan ? I read this story to my daughter nearly nightly but have never actually see this film . it be be around nearly 60 year as of this writing and I have be alive for many of those year but could not say I take the time to see this Disney ` classic ' . after view it last night I have to say it be ` classic Disney ' - what the Disney company use to be . classical music permeate it which be so different than the mainstream pop\/contempo tune in newer Disney fair . what I really like -lrb- love -rrb- be how innocent the child be . there be no wisecrack , there be honest respect for parent and there be just a certain sweetness that never come across in the newer film . Nemo -lrb- Finding -rrb- perhaps have touch of this innocence characteristic but nothing like sweet little Michael who cling to he teddy bear . another thing I love about this film be the animation . it be beautiful and , again , classic Disney . you can tell a lot of work and care go into every drawing and coloring . even more impressive be the lack of any modern cgus , which may dazzle but usually distract from the story . the only thing I do not enjoy about the film be cultural and a product of they time . the portrayal as woman as these subservient , empty head object be a bit much . the use of classical instrumentation for EVERY SINGLE CHARACTER MOVEMENT be barely tolerable . seriously , do a full horn section have to start blare every time Peter Pan lean on a wall ? . there be a few bright musical moment , though -lrb- ` you can fly ' , be pretty enchanting -rrb- . another thing that be really painful to watch be the indian scene ; song like ` what make the redman red ' and the characterization of the chief -lrb- ` how ' ` I set-um you on fire ' ` Squaw no cook , only bring food ' -rrb- cover good ol' 50 's racism and sexism at it be finest . it be weird to think people use to think like that . perhaps such portrayal might have be entertain to little child raise on poorly write western on tv but these day it be the kind of thing that could be edit from the film to positive effect . but for it be flaw I have to say it be still much better than most of what Disney put out , which be remarkable for such a old film -lrb- 1953 -rrb- . definitely worth owning . on a side note , $ 48 to own ... really ? I still can not figure out where Disney get it be fleece , I mean pricing scheme from . be I the only one that think that be a bit steep for a child 's movie ? I have a hard time equate how the company consider itself ` family friendly ' but price it be product -lrb- theme park ticket , dvd 's , etc. -rrb- in range that most middle class family would stretch to afford .
Movies_TV	POS	5	if you do not currently own Peter Pan , and love the movie , you still have time to buy it on video and dvd . but hurry up because Peter Pan and along with beauty and the beast , beauty and the beast the enchanted Christmas and return to Neverland be go out of stock on 1\/31\/03 . along with some other title . whether you believe it or not that Peter Pan 's voice die in 1968 because he have be abuse himself and he body be founde by kid play in a abanded village bulding but I think it take sometime to to discover he be the voice of Peter Pan .
Movies_TV	POS	5	I love Chris E 's doctor . I think , `` no ! they can not take my doctor away from I after only one season ! '' I be distraught . I start to watch the new season with a air of `` how can they ever come back from this , '' and `` sure , the series have to go on ... '' , but then , then I slowly feel in love . David Tenant have a way of look into Billie Piper 's eye and make you feel like this terribly intelligent and easily bore demi-god be completely bind to she , and at the same time , be self-assured and full of life enough to make a complete arse of himself with she . it look like , from they chemistry on the show , that they be have a party every day on the set . and again with the snarky humor . David deliver it spot on . why oh why be there only 12 episode in a year ? what torture wait for the next season .
Movies_TV	POS	5	Disney 's `` Peter Pan '' be one of they most enchantingly delightful animated feature , tell the story of how Peter Pan whisk wendy , John , and Michael off to he home in never land for a magical adventure none of they would ever forget fight Captin Hook and he ruthless band of pirate .  although the original 1999 `` limited issue '' dvd lack bonus feature -lrb- with the only one be the option to watch the movie in french -rrb- , fan of the film have be reward for wait with this special edition . the movie look better then it do on any previous release , and that be reason enough to buy this masterpiece . but the extra feature -- oh ! true , this disc pale in comparison to the platinum edition release of `` Snow White '' -lrb- unfortunately `` Peter Pan '' be NOT one of the nine other platinum edition to be issue over the next decade -rrb- but for one disc I would say they do a pretty nice job . `` you can fly : the make of Peter Pan '' be also provide on the 1998 45th anniversary limited edition VHS , but it be worthy of another watch . after see the movie again , start with that , and then see the wonderful 13-minute 1952 promotional featurette `` the Peter Pan Story . '' they be even more exellent when view together .  Next , head back to the movie , but turn on the audio commentary this time . host by Roy E. Disney , it provide some really amazing information on the film I never know before . other commentator include Walt Disney himself -lrb- piece together from old interview , etc. -rrb- , some of he Nine Old Men , other vetran animator , Kathryn Beaumont -lrb- who provide Wendy 's voice in the feature -rrb- , and of course note film critic Lenoard Multin , among other . next , take a few minute to examine the vast visiual gallery . wonderful stuff in there for fan and casuial viewer alike .  the bonus aim at kid be worth a look too . the best by far be the `` follow the Leader '' sing-along , although it look a bit dull -lrb- not be take from the newly restore version of the film , but a older one -rrb- , and the Pirate Treasure Hunt game be fun , if too easy . the dvd storybook be AWFUL , though , attempt to create a new story out of the animation that be already create for the original movie . if that sound confusing , do not worry , do not bother with the feature . another note : why could not they have put a `` you can fly '' sing along on the disc as well ? there be a Sing along videotape devote to that one as the title tune , so a version do exsist . I ` dve much prefer it over `` follow the Leader , '' but really would have like both . oh well .  lastly , there be a new trailer for `` return to never land '' -lrb- not either of the theatrical one ; this one have some really great new footage -rrb- that be worth a look before you go see the movie . and if you buy this before March 31 , you child will get in free -- as a extra bonus , there be one free child 's admission movie ticket for `` return '' inside every special Edition dvd and video .  in addition to all this , new trailer show that among other `` Beauty and the beast '' and `` the many adventure of Winnie the Pooh '' will make it to dvd this year -lrb- finally -rrb- in October for the former and May for the latter . great news , I think . plus there be a really cute Disney tv spot call `` Magic happen '' on the second menu of trailer .  all in all , this be a wonderful dvd -- much better then the limited issue edition -- and I be glad to own it . something you should not miss ! \*\*\*\*\* -lrb- 5\/5 -rrb-
